Country,Population,YearlyChange,NetChange,Density,LandArea,Migrants,Fert,MedAge,UrbanPop,WorldShare,PopChange
Georgia,3987805,-0.0019,-7598,57,69490,-10000,2.1,38,58%,0.05%,-0.19
Eritrea,3554797,0.0141,49304,35,101000,-39858,4.1,19,63%,0.05%,1.41
Uruguay,3475842,0.0035,11996,20,175020,-3000,2,36,96%,0.04%,0.35
Bosnia and Herzegovina,3277152,-0.0061,-20181,64,51000,-21585,1.3,43,52%,0.04%,-0.61
Mongolia,3287242,0.0165,53123,2,1553560,-852,2.9,28,67%,0.04%,1.65
Armenia,2964219,0.0019,5512,104,28470,-4998,1.8,35,63%,0.04%,0.19
Jamaica,2963429,0.0044,12888,273,10830,-11332,2,31,55%,0.04%,0.44
Qatar,2889284,0.0173,48986,248,11610,40000,1.9,32,96%,0.04%,1.73
Albania,2877239,-0.0011,-3120,105,27400,-14000,1.6,36,63%,0.04%,-0.11
Puerto Rico,2846860,-0.0247,-72555,323,8870,-97986,1.2,44,N.A.,0.04%,-2.47
Lithuania,2715340,-0.0135,-37338,43,62674,-32780,1.7,45,71%,0.03%,-1.35
Namibia,2548663,0.0186,46375,3,823290,-4806,3.4,22,55%,0.03%,1.86
Gambia,2427782,0.0294,68962,239,10120,-3087,5.3,18,59%,0.03%,2.94
Botswana,2359585,0.0208,47930,4,566730,3000,2.9,24,73%,0.03%,2.08
Gabon,2234448,0.0245,53155,9,257670,3260,4,23,87%,0.03%,2.45
Lesotho,2145194,0.008,16981,71,30360,-10047,3.2,24,31%,0.03%,0.8
North Macedonia,2083359,0,-85,83,25220,-1000,1.5,39,59%,0.03%,0
Slovenia,2078989,0.0001,284,103,20140,2000,1.6,45,55%,0.03%,0.01
Guinea-Bissau,1975718,0.0245,47079,70,28120,-1399,4.5,19,45%,0.03%,2.45
Latvia,1882408,-0.0108,-20545,30,62200,-14837,1.7,44,69%,0.02%,-1.08
Bahrain,1711057,0.0368,60403,2239,760,47800,2,32,89%,0.02%,3.68
Equatorial Guinea,1410419,0.0347,46999,50,28050,16000,4.6,22,73%,0.02%,3.47
Trinidad and Tobago,1400283,0.0032,4515,273,5130,-800,1.7,36,52%,0.02%,0.32
Estonia,1326693,0.0007,887,31,42390,3911,1.6,42,68%,0.02%,0.07
Timor-Leste,1322667,0.0196,25326,89,14870,-5385,4.1,21,33%,0.02%,1.96
Mauritius,1272140,0.0017,2100,626,2030,0,1.4,37,41%,0.02%,0.17
Cyprus,1208886,0.0073,8784,131,9240,5000,1.3,37,67%,0.02%,0.73
Eswatini,1162233,0.0105,12034,67,17200,-8353,3,21,30%,0.01%,1.05
Djibouti,990447,0.0148,14440,43,23180,900,2.8,27,79%,0.01%,1.48
Fiji,897573,0.0073,6492,49,18270,-6202,2.8,28,59%,0.01%,0.73
Réunion,896422,0.0072,6385,358,2500,-1256,2.3,36,100%,0.01%,0.72
Comoros,872695,0.022,18715,467,1861,-2000,4.2,20,29%,0.01%,2.2
Guyana,787215,0.0048,3786,4,196850,-6000,2.5,27,27%,0.01%,0.48
Bhutan,773069,0.0112,8516,20,38117,320,2,28,46%,0.01%,1.12
Solomon Islands,689671,0.0255,17061,25,27990,-1600,4.4,20,23%,0.01%,2.55
Macao,650846,0.0139,8890,21645,30,5000,1.2,39,N.A.,0.01%,1.39
Montenegro,628080,0.0001,79,47,13450,-480,1.8,39,68%,0.01%,0.01
Luxembourg,627704,0.0166,10249,242,2590,9741,1.5,40,88%,0.01%,1.66
Western Sahara,599769,0.0255,14876,2,266000,5582,2.4,28,87%,0.01%,2.55
Suriname,587541,0.009,5260,4,156000,-1000,2.4,29,65%,0.01%,0.9
Cabo Verde,557026,0.011,6052,138,4030,-1342,2.3,28,68%,0.01%,1.1
Maldives,542151,0.0181,9591,1802,300,11370,1.9,30,35%,0.01%,1.81
Malta,441750,0.0027,1171,1380,320,900,1.5,43,93%,0.01%,0.27
Brunei,438202,0.0097,4194,83,5270,0,1.8,32,80%,0.01%,0.97
Guadeloupe,400136,0.0002,68,237,1690,-1440,2.2,44,N.A.,0.01%,0.02
Belize,398845,0.0186,7275,17,22810,1200,2.3,25,46%,0.01%,1.86
Bahamas,393893,0.0097,3762,39,10010,1000,1.8,32,86%,0.01%,0.97
Martinique,375213,-0.0008,-289,354,1060,-960,1.9,47,92%,0.00%,-0.08
Iceland,341628,0.0065,2212,3,100250,380,1.8,37,94%,0.00%,0.65
Vanuatu,308337,0.0242,7263,25,12190,120,3.8,21,24%,0.00%,2.42
French Guiana,299958,0.027,7850,4,82200,1200,3.4,25,87%,0.00%,2.7
Barbados,287437,0.0012,350,668,430,-79,1.6,40,31%,0.00%,0.12
New Caledonia,285972,0.0097,2748,16,18280,502,2,34,72%,0.00%,0.97
French Polynesia,281191,0.0058,1621,77,3660,-1000,2,34,64%,0.00%,0.58
Mayotte,273905,0.025,6665,728,375,0,3.7,20,46%,0.00%,2.5
Sao Tome & Principe,219844,0.0191,4103,228,960,-1680,4.4,19,74%,0.00%,1.91
Samoa,198643,0.0067,1317,70,2830,-2803,3.9,22,18%,0.00%,0.67
Saint Lucia,183774,0.0046,837,301,610,0,1.4,34,19%,0.00%,0.46
Channel Islands,174140,0.0093,1604,915,190,1351,1.5,43,30%,0.00%,0.93
Guam,169031,0.0089,1481,313,540,-506,2.3,31,95%,0.00%,0.89
Curaçao,164211,0.0041,669,370,444,515,1.8,42,89%,0.00%,0.41
Kiribati,119760,0.0157,1843,147,810,-800,3.6,23,57%,0.00%,1.57
Micronesia,115231,0.0106,1208,164,700,-600,3.1,24,21%,0.00%,1.06
Grenada,112614,0.0046,520,331,340,-200,2.1,32,35%,0.00%,0.46
St. Vincent & Grenadines,111002,0.0032,351,284,390,-200,1.9,33,53%,0.00%,0.32
Aruba,106845,0.0043,452,593,180,201,1.9,41,44%,0.00%,0.43
Tonga,105901,0.0115,1201,147,720,-800,3.6,22,24%,0.00%,1.15
U.S. Virgin Islands,104398,-0.0015,-153,298,350,-451,2,43,96%,0.00%,-0.15
Seychelles,98453,0.0062,608,214,460,-200,2.5,34,56%,0.00%,0.62
Antigua and Barbuda,98069,0.0084,811,223,440,0,2,34,26%,0.00%,0.84
Isle of Man,85112,0.0053,449,149,570,,N.A.,N.A.,53%,0.00%,0.53
Andorra,77287,0.0016,123,164,470,,N.A.,N.A.,88%,0.00%,0.16
Dominica,72017,0.0025,178,96,750,,N.A.,N.A.,74%,0.00%,0.25
Cayman Islands,65854,0.0119,774,274,240,,N.A.,N.A.,97%,0.00%,1.19
Bermuda,62237,-0.0036,-228,1246,50,,N.A.,N.A.,97%,0.00%,-0.36
Marshall Islands,59259,0.0068,399,329,180,,N.A.,N.A.,70%,0.00%,0.68
Northern Mariana Islands,57619,0.006,343,125,460,,N.A.,N.A.,88%,0.00%,0.6
Greenland,56787,0.0017,98,0,410450,,N.A.,N.A.,87%,0.00%,0.17
American Samoa,55169,-0.0022,-121,276,200,,N.A.,N.A.,88%,0.00%,-0.22
Saint Kitts & Nevis,53264,0.0071,376,205,260,,N.A.,N.A.,33%,0.00%,0.71
Faeroe Islands,48896,0.0038,185,35,1396,,N.A.,N.A.,43%,0.00%,0.38
Sint Maarten,42960,0.0115,488,1261,34,,N.A.,N.A.,96%,0.00%,1.15
Monaco,39290,0.0071,278,26337,1,,N.A.,N.A.,N.A.,0.00%,0.71
Turks and Caicos,38806,0.0138,526,41,950,,N.A.,N.A.,89%,0.00%,1.38
Saint Martin,38778,0.0175,664,730,53,,N.A.,N.A.,0%,0.00%,1.75
Liechtenstein,38147,0.0029,109,238,160,,N.A.,N.A.,15%,0.00%,0.29
San Marino,33944,0.0021,71,566,60,,N.A.,N.A.,97%,0.00%,0.21
Gibraltar,33689,-0.0003,-10,3369,10,,N.A.,N.A.,N.A.,0.00%,-0.03
British Virgin Islands,30266,0.0067,201,202,150,,N.A.,N.A.,52%,0.00%,0.67
Caribbean Netherlands,26265,0.0094,244,80,328,,N.A.,N.A.,75%,0.00%,0.94
Palau,18109,0.0048,86,39,460,,N.A.,N.A.,N.A.,0.00%,0.48
Cook Islands,17567,0.0009,16,73,240,,N.A.,N.A.,75%,0.00%,0.09
Anguilla,15026,0.009,134,167,90,,N.A.,N.A.,N.A.,0.00%,0.9
Tuvalu,11817,0.0125,146,393,30,,N.A.,N.A.,62%,0.00%,1.25
Wallis & Futuna,11203,-0.0169,-193,80,140,,N.A.,N.A.,0%,0.00%,-1.69
Nauru,10836,0.0063,68,541,20,,N.A.,N.A.,N.A.,0.00%,0.63
Saint Barthelemy,9882,0.003,30,470,21,,N.A.,N.A.,0%,0.00%,0.3
Saint Helena,6080,0.003,18,16,390,,N.A.,N.A.,27%,0.00%,0.3
Saint Pierre & Miquelon,5789,-0.0048,-28,25,230,,N.A.,N.A.,100%,0.00%,-0.48
Montserrat,4993,0.0006,3,50,100,,N.A.,N.A.,10%,0.00%,0.06
Falkland Islands,3497,0.0305,103,0,12170,,N.A.,N.A.,66%,0.00%,3.05
Niue,1628,0.0068,11,6,260,,N.A.,N.A.,46%,0.00%,0.68
Tokelau,1360,0.0127,17,136,10,,N.A.,N.A.,0%,0.00%,1.27
Holy See,801,0.0025,2,2003,0,,N.A.,N.A.,N.A.,0.00%,0.25
